MG_UID	Sample	Station	Latitude	Longitude	Depth	Biome	Region	Province	Temperature	Nitrogen	Ammonium_5m	Nitrate	Nitrate_5m	Nitrite	Nitrite_5m	Nitrate_Nitrite	Phosphate	Silicate	Iron_5m	Oxygen	Salinity	Sigma_Theta	Chlorophyll_A	POC	PIC	Residence_Time	Conductivity	PAR_1_1	PAR_1_8	PAR_1_30	Season	Season_Stage	Distance_From_Coast	Angular_Scattering_Coefficient	Optical_Backscattering_Coefficient	Backscattering_Coefficient_of_Particles	Fluorescence	Optical_Beam_Attenuation_Coefficient	Beam_Attenuation_Coefficient_of_Particles	Sunshine_Duration	Sea_Ice_Concentration	Sea_Ice_Free_Period.	Sample_Accession_Number	Ecological_Zone
ERR2762106	158_DCM	TARA_158	67.161	0.3964	25	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[ARCT] Atlantic Arctic Province (MRGID:21451)	6.73489	1.01	0.023701385	8.063879	5.405942082	0.309	0.03278591	11.784	0.709183	4.95809	0.000599484	304.0473	35.15072	27.572895	46.1766	113.4192886	0.000774643	0	35.186184	NA	NA	NA	spring	late	520.3413	0.000341	0.000646	0.002355	1.946281	0.16469	0.120182	1440	0	365	ERS1308437	ARC
ERR2762108	158_MES	TARA_158	67.1675	0.2177	651	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[ARCT] Atlantic Arctic Province (MRGID:21451)	0.22498	0.97	0.023701385	14.950381	5.405942082	NA	0.03278591	NA	NA	NA	0.000599484	295.31095	34.90349	28.01768	39.0691	113.4192886	0.000774643	0	29.4574	NA	NA	NA	spring	late	508.2194	0.000262	5.5e-05	0.001811	NA	NA	NA	1440	0	365	ERS1308472	ARC
ERR2762110	158_SRF	TARA_158	67.141	0.2355	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[ARCT] Atlantic Arctic Province (MRGID:21451)	8.47447	0.96	0.023701385	5.218798	5.405942082	0.13475	0.03278591	5.1155	0.356899	4.012069	0.000599484	311.7827	35.145165	27.314165	45.8727	114.9631805	0.000797054	0	36.793439	11.751608	9.194201	10.832468	spring	late	428.6527	0.000529	0.001956	0.003655	1.888199	0.789967	0.745459	1440	0	365	ERS1308390	ARC
ERR2762112	163_MES	TARA_163	76.1246	1.3648	499	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	0.099535	0.35	0.014557052	13.010683	11.743258	NA	0.018939177	NA	NA	NA	0.000874157	315.37205	34.94578	28.05824	149.8624	293.1131287	0.000422177	3.277778	29.312607	NA	NA	NA	spring	late	336.0165	0.000268	9e-05	0.001849	2.250862	0.049263	0.004956	1440	0	365	ERS1308540	ARC
ERR2762114	163_SRF	TARA_163	76.1825	1.3918	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	1.899612	0.33	0.014557052	4.980653	11.743258	0.101	0.018939177	2.7725	0.290483	4.18531	0.000874157	363.000813	34.888656	27.890469	109.6568	364.1092834	0.000462997	3.277778	30.602787	0.508199	0.676012	0.645578	spring	late	346.2418	0.000526	0.00189	0.003632	2.258868	0.985569	0.940457	1440	0	365	ERS1308500	ARC
ERR2762116	168_DCM	TARA_168	72.5432	44.102	40	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	3.824545	-1.35	0.006979311	0	0.041430494	0.063	0.001609991	0.821	0.098435	1.135333	0.000430005	326.3609	34.975345	27.784685	40.8031	119.8635941	0.000577954	1.222222	32.396189	0.195352	0.150077	0.123989	summer	early	257.048	0.000417	0.001154	0.002881	2.454789	0.248036	0.199541	1440	0	365	ERS1308623	ARC
ERR2762118	168_MIX	TARA_168	72.5199	44.0552	NA	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	3.1072	-1.35	0.006979311	0	0.041430494	0	0.001609991	0.821	0.098435	1.459545	0.000430005	303.31905	34.978285	27.85433	46.8143	119.7740173	0.000579437	1.222222	31.76019	0.025193	0.018896	0.015611	summer	early	254.8841	0.000361	0.000757	0.002491	2.699	0.106066	0.057573	1440	0	365	ERS1308664	ARC
ERR2762120	168_SRF	TARA_168	72.5128	44.0775	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	7.48766	-1.34	0.006979311	0	0.041430494	0	0.001609991	0.0595	0	1.725127	0.000430005	299.0073	34.92331	27.289205	48.5056	116.7825508	0.00057966	1.222222	35.668867	22.314532	17.142824	14.162942	summer	early	230.6333	0.000592	0.002388	0.00409	2.102862	0.388555	0.340062	1440	0	365	ERS1308567	ARC
ERR2762122	173_DCM	TARA_173	78.9354	79.0604	35	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-1.29785	-1.16	0.004081616	4.427788	6.240898371	0.026	0.020618707	1.709	0.209065	0.231772	0.001215531	348.000625	34.4561	27.72345	85.1855	81.82417297	0.000360401	4.833333	27.548608	0.635657	0.713139	0.582513	summer	early	102.636	0.000851	0.004112	0.005878	3.166069	0.521405	0.472911	1440	1.181939274	304	ERS1308744	ARC
ERR2762124	173_SRF	TARA_173	78.9564	79.4201	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-0.160312	-1.14	0.004081616	2.099614	6.240898371	0.0015	0.020618707	0.441	0.056871	0.273079	0.001215531	385.28075	33.613775	26.994413	85.1855	NA	NA	4.833333	27.863895	19.445208	19.215406	15.941915	summer	early	102.636	0.000502	0.001722	0.003468	2.28495	0.168573	0.120079	1440	5.30974521	304	ERS1308704	ARC
ERR2762126	175_MIX	TARA_175	79.3349	66.2954	NA	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	1.025705	-1.38	0.000589373	NA	6.750465393	0.0475	0.003293654	2.5925	0.35669	1.74362	0.00109338	314.71675	34.691775	27.839725	65.2634	117.250988	0.00067235	0	29.629266	0.001624	0.00207	0.001877	summer	early	157.537	0.000364	0.000757	0.002512	2.380822	0.117353	0.068859	1440	0	300	ERS1308858	ARC
ERR2762128	175_SRF	TARA_175	79.2233	66.3435	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	1.365705	-1.41	0.000589373	2.150477	6.750465393	0.001	0.003293654	0.3685	0.063634	0.523062	0.00109338	369.289812	34.264755	27.429195	124.7503	94.31935501	0.00045784	0	29.61163	6.700916	12.431202	11.294316	summer	early	113.2174	0.000583	0.00229	0.00403	2.134432	0.346407	0.297913	1440	0	300	ERS1308779	ARC
ERR2762130	175_ZZZ	TARA_175	79.2026	66.4827	199	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	1.47689	-1.41	0.000589373	11.691602	6.750465393	0.019	0.003293654	11.508	0.730535	4.994604	0.00109338	296.228	34.8814	27.91825	33.7079	98.90457916	0.000491698	0	30.31872	NA	NA	NA	summer	early	159.878	0.00029	0.000256	0.002002	2.51048	0.060602	0.012108	1440	0	300	ERS1308812	ARC
ERR2762132	178_SRF	TARA_178	77.1604	73.2057	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	1.325833	-1.8	0.003428314	NA	5.088556846	0.008333	0.021517911	0.278	0.047034	0.244154	0.001328503	348.196667	34.142392	27.333308	62.2831	64.08536911	0.000319432	0	29.520042	16.556152	18.701116	17.99801	summer	early	96.5746	0.000355	0.000714	0.002453	2.15788	0.149633	0.101139	1440	0	295	ERS1308894	ARC
ERR594352	18_DCM	TARA_018	35.7528	14.2765	60	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	18.30575	NA	0.009119561	NA	0.010272223	0.025	0.030015622	0.038	0.013	0.58135	0.001387895	238.694625	37.84945	27.375	16.0651	43.87895775	9.24e-05	15.222222	49.617178	0.437326	0.371328	0.334918	autumn	middle	14.2151	0.00034	0.000666	0.00235	1.375	0.052984	0.036214	641	0	365	ERS488354	TT_EPI
ERR594358	18_SRF	TARA_018	35.759	14.2574	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	21.48665	NA	0.009119561	NA	0.010272223	0.018	0.030015622	0.118	0.026	0.5571	0.001387895	208.245	37.89575	26.565263	15.9449	43.04259491	8.9e-05	15.222222	53.056388	19.262582	16.355627	14.751895	autumn	middle	13.8783	0.000308	0.000449	0.002126	1.091875	0.062286	0.045516	641	0	365	ERS488340	TT_EPI
ERR2762136	180_DCM	TARA_180	74.8283	76.2096	30	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	-1.533492	-2.32	0.003474399	NA	2.7429805	0.075667	0.01667134	2.080833	0.482771	8.877352	0.001387656	356.223917	33.646092	27.072625	17.6348	1180.789856	0.000310993	3.777778	26.769089	1e-06	1e-06	NA	summer	early	171.3892	0.000581	0.002256	0.004017	6.974842	0.197626	0.149132	1440	0	290	ERS1308985	ARC
ERR2762134	180_SRF	TARA_180	74.8023	76.1478	5	Polar Biome	[AO] Arctic Ocean (MRGID:1906)	[BPLR] Boreal Polar Province (MRGID:21450)	2.507887	-2.32	0.003474399	NA	2.7429805	0.014667	0.01667134	0.247333	0.238302	11.775524	0.001387656	357.164917	22.980169	18.339325	17.6348	1359.407349	0.000245386	3.777778	21.008132	1.086771	0.896501	0.747166	summer	early	171.3892	0.000825	0.004105	0.005696	19.191431	0.308774	0.26028	1440	0	290	ERS1308938	ARC
