OTU_ID	Domain	Phylum	Class	Order	Family	Genus	Species
GU118920.1.1463	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Endozoicomonas	uncultured bacterium
GU118939.1.1422	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	uncultured	uncultured bacterium
GU118977.1.1395	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula	uncultured bacterium
GU118978.1.1419	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
GU119013.1.1429	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	uncultured	uncultured bacterium
GU119047.1.1479	Bacteria	Proteobacteria	Gammaproteobacteria	uncultured	uncultured bacterium	NA	NA
GU119060.1.1446	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella	uncultured bacterium
GU119259.1.1384	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	uncultured bacterium
GU119298.1.1407	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus	uncultured bacterium
GU119304.1.1463	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116 clade	uncultured bacterium	NA
GU119319.1.1266	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Fluviicola	uncultured bacterium
GU119362.1.1449	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Actibacter	uncultured bacterium
GU119438.1.1393	Bacteria	Cyanobacteria	Cyanobacteria	SubsectionI	FamilyI	Synechococcus	uncultured bacterium
GU119441.1.1361	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	MD3-55	uncultured bacterium	NA
GU119467.1.1384	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	uncultured	uncultured bacterium
GU119645.1.1373	Bacteria	Cyanobacteria	Chloroplast	uncultured organism	NA	NA	NA
GU119713.1.1407	Bacteria	Cyanobacteria	Chloroplast	uncultured organism	NA	NA	NA
GU119791.1.1373	Bacteria	Cyanobacteria	Chloroplast	uncultured organism	NA	NA	NA
GU119834.1.1394	Bacteria	Cyanobacteria	Chloroplast	uncultured organism	NA	NA	NA
GU119839.1.1349	Bacteria	Cyanobacteria	Chloroplast	uncultured organism	NA	NA	NA
GU119860.1.1418	Bacteria	Cyanobacteria	Chloroplast	uncultured organism	NA	NA	NA
GU119866.1.1400	Bacteria	Cyanobacteria	Chloroplast	uncultured organism	NA	NA	NA
GU119883.1.1405	Bacteria	Cyanobacteria	Chloroplast	uncultured organism	NA	NA	NA
GU119886.1.1384	Bacteria	Cyanobacteria	Chloroplast	uncultured organism	NA	NA	NA
